review_text,sentiment_score,length,verified_purchase,helpful_votes,is_spam
Subscribe now and get rich quick! #0,0.4043931974736502,36,1,2,1
"Cheap material, broke within a week. #1",0.5345939615911653,39,1,8,0
"Five stars, will buy again! #2",0.647323986580114,30,1,3,0
"Waste of money, avoid at all costs. #3",0.7657482860198499,38,0,6,0
Absolutely love this product! #4,0.40979477627691874,32,0,1,0
Exceeded my expectations in every way. #5,0.41439614885825965,41,0,3,0
Absolutely love this product! #6,0.45536555180542615,32,0,2,0
"Cheap material, broke within a week. #7",0.7058321654939255,39,0,1,0
Does not match the description. #8,0.511408336935792,34,0,2,0
Absolutely love this product! #9,0.9331759482782382,32,1,3,0
Click here to win a free iPhone! #10,0.4677983667610598,36,1,4,1
"Waste of money, avoid at all costs. #11",0.8526971214835489,39,0,2,0
Customer support was very helpful. #12,0.32139389961829623,38,0,2,0
Product stopped working after two days. #13,0.22203058678854948,43,0,3,0
"Cheap material, broke within a week. #14",0.47971422136396874,40,1,5,0
Absolutely love this product! #15,0.7278773861032325,33,0,3,0
"Waste of money, avoid at all costs. #16",0.40460412213545244,39,0,3,0
Absolutely love this product! #17,0.3766926145743489,33,0,2,0
Customer support was very helpful. #18,0.7050029392229911,38,1,1,0
Fast delivery and amazing quality. #19,0.6410199473809475,38,1,3,0
Congratulations! You've won a gift card. #20,0.34151696966002376,44,0,4,1
Product stopped working after two days. #21,0.32982273999444195,43,1,2,0
"Terrible service, not recommended. #22",0.6658584222683763,38,1,1,0
"Waste of money, avoid at all costs. #23",0.17362588337340368,39,1,5,0
Does not match the description. #24,0.7159047032100339,35,0,2,0
"Five stars, will buy again! #25",0.6383657582623471,31,0,2,0
"Five stars, will buy again! #26",0.04381757835843203,31,1,5,0
Fast delivery and amazing quality. #27,0.5031136549625207,38,1,1,0
"Five stars, will buy again! #28",0.10422636797198076,31,1,3,0
"Cheap material, broke within a week. #29",0.2589821667272491,40,0,6,0
Earn $5000 working from home. Click now! #30,0.3994057978186744,44,1,4,1
"Five stars, will buy again! #31",0.2464422871476692,31,1,6,0
Exceeded my expectations in every way. #32,0.9436321810888451,42,0,0,0
Fast delivery and amazing quality. #33,0.6728116107228358,38,1,3,0
Does not match the description. #34,0.7734878086326121,35,1,5,0
Does not match the description. #35,0.47194269833036334,35,0,3,0
"Cheap material, broke within a week. #36",0.5060934813608008,40,1,4,0
Fast delivery and amazing quality. #37,0.8161454084797033,38,1,1,0
Absolutely love this product! #38,0.5867464788056038,33,1,7,0
"Five stars, will buy again! #39",0.6224483602895552,31,1,2,0
Check out this unbelievable offer! #40,0.3177640829712802,38,0,4,1
Fast delivery and amazing quality. #41,0.31683763916489505,38,0,4,0
"Terrible service, not recommended. #42",0.5522079965173814,38,0,1,0
Absolutely love this product! #43,0.5745938674419149,33,1,3,0
"Cheap material, broke within a week. #44",0.3005817751469309,40,0,3,0
Fast delivery and amazing quality. #45,0.571691393245571,38,0,6,0
Exceeded my expectations in every way. #46,0.2556660795513571,42,1,4,0
"Terrible service, not recommended. #47",0.5027660399447395,38,0,3,0
Product stopped working after two days. #48,0.21250254089856574,43,1,3,0
"Terrible service, not recommended. #49",0.7655981176367903,38,1,3,0
Get followers instantly! Click here! #50,0.43775557627304423,40,1,3,1
Customer support was very helpful. #51,0.36128629809639423,38,0,4,0
Fast delivery and amazing quality. #52,0.2708523433895897,38,0,3,0
"Five stars, will buy again! #53",0.251602928010368,31,1,1,0
"Waste of money, avoid at all costs. #54",0.5872820477374749,39,0,4,0
"Five stars, will buy again! #55",0.7007603779271065,31,1,5,0
Exceeded my expectations in every way. #56,0.6807465568596821,42,0,5,0
Absolutely love this product! #57,0.7793183125044496,33,0,3,0
"Cheap material, broke within a week. #58",0.8496360916138519,40,0,3,0
Fast delivery and amazing quality. #59,0.6915853730672475,38,0,5,0
Earn $5000 working from home. Click now! #60,0.3994214282473335,44,0,3,1
"Five stars, will buy again! #61",0.5338962094841226,31,1,2,0
Customer support was very helpful. #62,0.04860692310466069,38,0,3,0
Does not match the description. #63,0.6275160275563624,35,0,1,0
Does not match the description. #64,0.5298531020786595,35,0,4,0
"Cheap material, broke within a week. #65",0.8190456091806895,40,0,5,0
Product stopped working after two days. #66,0.35132814767487697,43,0,3,0
Fast delivery and amazing quality. #67,0.6031031268030186,38,1,3,0
Absolutely love this product! #68,0.2993311872507826,33,1,1,0
"Terrible service, not recommended. #69",0.477993315148058,38,1,2,0
Earn $5000 working from home. Click now! #70,0.17294682280202622,44,0,2,1
Product stopped working after two days. #71,0.7712092693262884,43,0,6,0
Customer support was very helpful. #72,0.7105298777295521,38,1,5,0
Exceeded my expectations in every way. #73,0.4054631223126016,42,1,4,0
Fast delivery and amazing quality. #74,0.5523670641143075,38,1,6,0
Does not match the description. #75,0.5076971056681854,35,1,4,0
Does not match the description. #76,0.37752124305573714,35,0,1,0
"Terrible service, not recommended. #77",0.5246387322729595,38,1,6,0
Fast delivery and amazing quality. #78,0.41144568866276066,38,0,2,0
Fast delivery and amazing quality. #79,0.6960677340435527,38,1,2,0
Earn $5000 working from home. Click now! #80,0.45783833509875776,44,0,3,1
"Cheap material, broke within a week. #81",0.9781070954291717,40,0,5,0
"Waste of money, avoid at all costs. #82",0.48443044369113525,39,0,3,0
"Terrible service, not recommended. #83",0.5225541490170136,38,1,3,0
Does not match the description. #84,0.6056317043423366,35,0,1,0
"Cheap material, broke within a week. #85",0.6674102008471046,40,0,2,0
Fast delivery and amazing quality. #86,0.5155948923637464,38,1,3,0
Absolutely love this product! #87,0.6012758997389325,33,1,1,0
"Five stars, will buy again! #88",0.5365607928340254,31,1,1,0
Exceeded my expectations in every way. #89,0.3442834708507686,42,1,4,0
Click to claim your free rewards! #90,0.29036994004397265,37,1,2,1
Absolutely love this product! #91,0.6398495244304121,33,1,4,0
"Five stars, will buy again! #92",0.803446205002049,31,0,4,0
Fast delivery and amazing quality. #93,0.1738093573415389,38,0,1,0
"Five stars, will buy again! #94",0.21308752430642053,31,1,3,0
Does not match the description. #95,0.21115573594865183,35,1,3,0
"Cheap material, broke within a week. #96",0.6550289101222861,40,0,1,0
Absolutely love this product! #97,0.6717205913248998,33,0,3,0
Absolutely love this product! #98,0.30473213614904593,33,0,2,0
Fast delivery and amazing quality. #99,0.9411572705354796,38,1,5,0
"Limited time deal, don’t miss out! #100",0.4230066942383102,39,0,5,1
"Five stars, will buy again! #101",0.7871289440198437,32,0,6,0
Does not match the description. #102,0.6617081516644386,36,1,3,0
Customer support was very helpful. #103,0.308379837267561,39,1,2,0
Absolutely love this product! #104,0.41639346106297226,34,1,1,0
Fast delivery and amazing quality. #105,0.32551656947612384,39,0,2,0
Does not match the description. #106,0.23113614047868236,36,1,1,0
Exceeded my expectations in every way. #107,0.4493557446766813,43,0,3,0
Exceeded my expectations in every way. #108,0.26027996960741184,43,0,4,0
Absolutely love this product! #109,0.46501052780082175,34,1,4,0
Earn $5000 working from home. Click now! #110,0.8865913381505321,45,0,1,1
Customer support was very helpful. #111,0.6393376315907782,39,1,1,0
Does not match the description. #112,0.3885740222803184,36,1,5,0
Exceeded my expectations in every way. #113,0.372255335894717,43,1,3,0
"Waste of money, avoid at all costs. #114",0.4197759387658181,40,1,0,0
"Terrible service, not recommended. #115",0.9142265187521537,39,0,8,0
Absolutely love this product! #116,0.282329109785399,34,1,2,0
Exceeded my expectations in every way. #117,0.4996461954281517,43,0,5,0
"Terrible service, not recommended. #118",0.5930725847463658,39,0,3,0
Product stopped working after two days. #119,0.7430977443249567,44,1,2,0
Get followers instantly! Click here! #120,0.43346584029743984,41,0,7,1
Absolutely love this product! #121,0.3074648611821026,34,1,0,0
"Waste of money, avoid at all costs. #122",0.5579001444934258,40,1,3,0
Absolutely love this product! #123,0.7629327461950755,34,1,4,0
"Five stars, will buy again! #124",0.44542333944807444,32,0,4,0
Fast delivery and amazing quality. #125,0.33211643786805645,39,1,4,0
"Cheap material, broke within a week. #126",0.5220413758468249,41,1,8,0
"Waste of money, avoid at all costs. #127",0.17528258287303228,40,0,4,0
Exceeded my expectations in every way. #128,0.45626822854964694,43,1,2,0
Fast delivery and amazing quality. #129,0.7356051366384576,39,1,1,0
Click to claim your free rewards! #130,0.6749693654239315,38,1,2,1
"Waste of money, avoid at all costs. #131",0.47122714522171605,40,1,0,0
Fast delivery and amazing quality. #132,0.8318658786229136,39,1,4,0
Product stopped working after two days. #133,0.8819749735817994,44,1,3,0
Absolutely love this product! #134,0.6328172457540444,34,0,1,0
"Cheap material, broke within a week. #135",0.2064457318689486,41,1,3,0
Fast delivery and amazing quality. #136,0.1240176589255999,39,1,6,0
Absolutely love this product! #137,0.7766980328875045,34,1,4,0
Fast delivery and amazing quality. #138,0.5489455836320034,39,1,1,0
"Cheap material, broke within a week. #139",0.8271108356697794,41,0,1,0
Click here to win a free iPhone! #140,0.23226345169089918,37,1,3,1
"Waste of money, avoid at all costs. #141",0.4677629523561366,40,0,3,0
Does not match the description. #142,0.7058381180407161,36,1,7,0
Absolutely love this product! #143,0.3540425025022947,34,1,5,0
"Cheap material, broke within a week. #144",0.702957011931504,41,0,7,0
Product stopped working after two days. #145,0.47544409454413233,44,0,3,0
"Waste of money, avoid at all costs. #146",0.5056121612767825,40,1,2,0
"Terrible service, not recommended. #147",0.2632734206771006,39,1,4,0
Does not match the description. #148,0.5502772077715032,36,1,2,0
Customer support was very helpful. #149,0.9385579364528748,39,1,6,0
Congratulations! You've won a gift card. #150,0.5776043610597261,45,1,3,1
"Waste of money, avoid at all costs. #151",0.3416551452221809,40,1,1,0
"Terrible service, not recommended. #152",0.7791083160156103,39,0,2,0
"Five stars, will buy again! #153",0.3476856945814144,32,1,6,0
"Cheap material, broke within a week. #154",0.8442206478277396,41,1,4,0
Fast delivery and amazing quality. #155,0.24500817432357086,39,1,3,0
Customer support was very helpful. #156,0.554541681458256,39,0,4,0
"Terrible service, not recommended. #157",0.8052624991372298,39,0,3,0
Customer support was very helpful. #158,0.326636174281171,39,0,4,0
Absolutely love this product! #159,0.5166320166798594,34,1,2,0
Subscribe now and get rich quick! #160,0.7314578484708074,38,0,7,1
"Waste of money, avoid at all costs. #161",0.04889580553366235,40,1,3,0
Does not match the description. #162,0.6853767501109953,36,1,4,0
"Five stars, will buy again! #163",0.4824147018165717,32,1,6,0
"Five stars, will buy again! #164",0.788390830712487,32,1,4,0
"Cheap material, broke within a week. #165",0.3345005428907299,41,1,2,0
Fast delivery and amazing quality. #166,0.22264482746168496,39,1,6,0
"Waste of money, avoid at all costs. #167",0.39139270101407136,40,1,2,0
Absolutely love this product! #168,0.38721670607715786,34,0,3,0
"Terrible service, not recommended. #169",0.45870280470678715,39,0,2,0
Click to claim your free rewards! #170,0.4062840580899367,38,0,4,1
Product stopped working after two days. #171,0.09842028524718649,44,1,6,0
Product stopped working after two days. #172,0.48100872609937584,44,0,2,0
Product stopped working after two days. #173,0.546359341904926,44,1,2,0
Does not match the description. #174,0.46135151150820725,36,0,6,0
"Cheap material, broke within a week. #175",0.5573656490003753,41,0,2,0
Product stopped working after two days. #176,0.5169896156733258,44,1,1,0
"Cheap material, broke within a week. #177",0.22360128976504917,41,0,6,0
Does not match the description. #178,0.4398294502074919,36,1,4,0
Product stopped working after two days. #179,0.5227799837806368,44,0,4,0
Click to claim your free rewards! #180,0.4525658737748135,38,0,2,1
Fast delivery and amazing quality. #181,0.20144197587427787,39,0,1,0
Customer support was very helpful. #182,0.7446225890136606,39,1,4,0
"Five stars, will buy again! #183",0.30556886932103156,32,1,5,0
Does not match the description. #184,0.25156068107562013,36,0,5,0
Fast delivery and amazing quality. #185,0.508163713277887,39,0,2,0
"Terrible service, not recommended. #186",0.43684863255616224,39,1,2,0
Fast delivery and amazing quality. #187,0.6202883187221215,39,0,3,0
"Cheap material, broke within a week. #188",0.6745307871259095,41,0,7,0
Does not match the description. #189,0.6441129703576098,36,1,3,0
Click to claim your free rewards! #190,0.49964339794951446,38,0,5,1
Fast delivery and amazing quality. #191,0.6106594848802662,39,0,4,0
Absolutely love this product! #192,0.18799738094038337,34,1,2,0
"Cheap material, broke within a week. #193",0.7188721714561565,41,1,0,0
Product stopped working after two days. #194,0.4190340717843337,44,1,4,0
Product stopped working after two days. #195,0.893987582412983,44,1,0,0
Customer support was very helpful. #196,0.7249599953955778,39,0,1,0
"Cheap material, broke within a week. #197",0.46054288339811217,41,1,1,0
"Five stars, will buy again! #198",0.504282125680858,32,1,6,0
"Five stars, will buy again! #199",0.7368123228816964,32,0,2,0
Earn $5000 working from home. Click now! #200,0.04797623402611584,45,1,7,1
"Cheap material, broke within a week. #201",0.46795384330689616,41,1,4,0
"Cheap material, broke within a week. #202",0.8402847480880741,41,0,6,0
"Five stars, will buy again! #203",0.6689707180050086,32,1,5,0
Fast delivery and amazing quality. #204,0.3324572250255884,39,1,1,0
Does not match the description. #205,0.5628949222241494,36,0,4,0
"Waste of money, avoid at all costs. #206",0.3046613609054417,40,1,3,0
Exceeded my expectations in every way. #207,0.43170662542767213,43,1,5,0
Fast delivery and amazing quality. #208,0.5667675238154727,39,0,1,0
Does not match the description. #209,0.6019650363214638,36,0,3,0
Get followers instantly! Click here! #210,0.6458837448423067,41,1,5,1
"Terrible service, not recommended. #211",0.746757455391921,39,1,3,0
Fast delivery and amazing quality. #212,0.26125475114484836,39,1,0,0
Customer support was very helpful. #213,0.5048042055499689,39,0,2,0
Does not match the description. #214,0.329930580405154,36,1,2,0
Customer support was very helpful. #215,0.4202287205778211,39,1,3,0
Customer support was very helpful. #216,0.3491124780392478,39,0,4,0
Customer support was very helpful. #217,0.5998806973235398,39,1,4,0
"Five stars, will buy again! #218",0.7106038419879889,32,1,3,0
"Five stars, will buy again! #219",0.7214028447964812,32,1,0,0
Click to claim your free rewards! #220,0.2789653837961889,38,0,2,1
"Cheap material, broke within a week. #221",0.4753403907162003,41,0,2,0
"Cheap material, broke within a week. #222",0.2734196214516333,41,1,9,0
"Five stars, will buy again! #223",0.26675435440092843,32,1,3,0
Fast delivery and amazing quality. #224,0.3676537251455849,39,0,5,0
"Waste of money, avoid at all costs. #225",0.568659538184831,40,1,3,0
Does not match the description. #226,0.6037830085691291,36,0,4,0
"Waste of money, avoid at all costs. #227",0.6308459012993475,40,0,2,0
"Terrible service, not recommended. #228",0.618471681560895,39,0,0,0
Customer support was very helpful. #229,0.3304298052618469,39,0,1,0
Visit our website for amazing deals! #230,0.7365518038439045,41,0,0,1
Fast delivery and amazing quality. #231,0.6606560071943484,39,1,2,0
"Five stars, will buy again! #232",0.41746196806382435,32,0,5,0
"Five stars, will buy again! #233",0.42501606558988503,32,1,3,0
Exceeded my expectations in every way. #234,0.3684916832273465,43,1,3,0
Product stopped working after two days. #235,0.2416313464978378,44,1,2,0
"Cheap material, broke within a week. #236",0.6332049711089878,41,0,1,0
"Waste of money, avoid at all costs. #237",0.6644123568612034,40,1,3,0
"Cheap material, broke within a week. #238",0.31478950762414704,41,1,2,0
Product stopped working after two days. #239,0.2536282577856045,44,1,2,0
Get followers instantly! Click here! #240,0.31269264259473795,41,0,3,1
"Cheap material, broke within a week. #241",0.5220489264238358,41,1,1,0
Absolutely love this product! #242,0.22360452506546857,34,0,0,0
"Waste of money, avoid at all costs. #243",0.7255619959914499,40,0,3,0
Fast delivery and amazing quality. #244,0.7135915488516587,39,1,3,0
"Terrible service, not recommended. #245",0.5848689887722804,39,1,5,0
Absolutely love this product! #246,0.6619471499589589,34,0,2,0
Product stopped working after two days. #247,0.5117510775878168,44,0,3,0
Product stopped working after two days. #248,0.5930307989653838,44,1,3,0
"Terrible service, not recommended. #249",0.23996355133805852,39,1,2,0
"Limited time deal, don’t miss out! #250",0.7780958954409296,39,1,6,1
"Five stars, will buy again! #251",0.4025294121579881,32,1,5,0
"Cheap material, broke within a week. #252",0.47423983424214905,41,1,3,0
Exceeded my expectations in every way. #253,0.9974401534784685,43,0,1,0
Does not match the description. #254,0.4559985101788248,36,0,3,0
"Terrible service, not recommended. #255",0.6478803630046409,39,0,4,0
Product stopped working after two days. #256,0.6029064932683615,44,0,2,0
"Cheap material, broke within a week. #257",0.2334362739321238,41,0,2,0
"Terrible service, not recommended. #258",0.30005138967095857,39,1,3,0
Absolutely love this product! #259,0.9071777287001509,34,0,2,0
Visit our website for amazing deals! #260,0.6158325885022868,41,1,1,1
Absolutely love this product! #261,0.49662499885512934,34,0,1,0
Absolutely love this product! #262,0.3928703854944551,34,0,3,0
Does not match the description. #263,0.564015512435414,36,1,3,0
Exceeded my expectations in every way. #264,0.5830295465859672,43,0,3,0
"Five stars, will buy again! #265",0.5453043080483336,32,0,0,0
Exceeded my expectations in every way. #266,0.7137921161969337,43,0,4,0
Exceeded my expectations in every way. #267,0.32662828356639284,43,0,3,0
Does not match the description. #268,0.29985971264409017,36,1,5,0
Product stopped working after two days. #269,0.7086140983940721,44,0,8,0
Subscribe now and get rich quick! #270,0.922537477428782,38,0,3,1
Customer support was very helpful. #271,0.6685184885377631,39,0,2,0
Does not match the description. #272,0.7595507423574483,36,0,5,0
"Waste of money, avoid at all costs. #273",0.48503187277468174,40,0,3,0
Does not match the description. #274,0.553223004972429,36,0,0,0
"Terrible service, not recommended. #275",0.5505312691397848,39,0,4,0
Absolutely love this product! #276,0.488914670449107,34,0,1,0
Fast delivery and amazing quality. #277,0.7822593731919278,39,1,1,0
Customer support was very helpful. #278,0.7231694549873293,39,1,2,0
Customer support was very helpful. #279,0.42015315614057974,39,1,1,0
Click to claim your free rewards! #280,0.17088458821345143,38,0,3,1
Customer support was very helpful. #281,0.4872851445589465,39,0,5,0
"Terrible service, not recommended. #282",0.26906956301928336,39,1,4,0
Fast delivery and amazing quality. #283,0.5047350112660535,39,1,3,0
"Terrible service, not recommended. #284",0.28482681490220674,39,1,3,0
"Terrible service, not recommended. #285",0.7513033272011401,39,1,4,0
Fast delivery and amazing quality. #286,0.6368845440087452,39,0,3,0
Absolutely love this product! #287,0.632026315890168,34,1,3,0
Exceeded my expectations in every way. #288,0.7144371674860537,43,0,2,0
"Terrible service, not recommended. #289",0.5782214488481799,39,1,3,0
Click to claim your free rewards! #290,0.6093603576677177,38,0,4,1
Product stopped working after two days. #291,0.7869397465922775,44,0,2,0
"Five stars, will buy again! #292",0.4730969744353435,32,0,8,0
Product stopped working after two days. #293,0.6210230669077887,44,0,2,0
"Cheap material, broke within a week. #294",0.2893722980200848,41,1,1,0
"Cheap material, broke within a week. #295",0.5158553830873541,41,0,8,0
Customer support was very helpful. #296,0.9518567440546439,39,0,2,0
Customer support was very helpful. #297,0.6629650759576223,39,1,3,0
Customer support was very helpful. #298,0.48280113687093734,39,1,1,0
Absolutely love this product! #299,0.5529081231472337,34,1,3,0
Check out this unbelievable offer! #300,0.49580034873314477,39,1,6,1
Fast delivery and amazing quality. #301,0.5463401239556711,39,0,3,0
Does not match the description. #302,0.42019862995427176,36,1,2,0
"Cheap material, broke within a week. #303",0.5989742400403247,41,0,2,0
Does not match the description. #304,0.6060619872495919,36,1,2,0
"Waste of money, avoid at all costs. #305",0.5013276020762211,40,0,4,0
Fast delivery and amazing quality. #306,0.5280118612232496,39,1,3,0
Fast delivery and amazing quality. #307,0.5681535351454875,39,1,1,0
"Cheap material, broke within a week. #308",0.39455139445287746,41,1,5,0
Does not match the description. #309,0.5970540668696409,36,1,2,0
Earn $5000 working from home. Click now! #310,0.6560315434513325,45,0,3,1
"Waste of money, avoid at all costs. #311",0.7929732213009635,40,1,3,0
Fast delivery and amazing quality. #312,0.563674490011726,39,0,5,0
"Waste of money, avoid at all costs. #313",0.3888728223647968,40,0,4,0
"Waste of money, avoid at all costs. #314",0.47941254830418023,40,1,6,0
Does not match the description. #315,0.2714071892162885,36,1,4,0
Exceeded my expectations in every way. #316,0.6454705164537721,43,0,1,0
Customer support was very helpful. #317,0.08805495462429414,39,0,4,0
Absolutely love this product! #318,0.704931038056887,34,0,2,0
Customer support was very helpful. #319,0.729064853139779,39,0,2,0
"Act fast, limited time scam offer! #320",0.0,39,0,5,1
Exceeded my expectations in every way. #321,0.7550561986436262,43,1,2,0
Product stopped working after two days. #322,0.705457233947937,44,1,2,0
Exceeded my expectations in every way. #323,0.4419896433431566,43,0,1,0
Product stopped working after two days. #324,0.26163686180273843,44,1,4,0
Product stopped working after two days. #325,0.3324481800275631,44,0,2,0
"Five stars, will buy again! #326",0.34829644072344057,32,1,4,0
"Five stars, will buy again! #327",0.7632111920419256,32,0,0,0
Absolutely love this product! #328,0.4101919614535039,34,1,3,0
"Terrible service, not recommended. #329",0.6810646192150571,39,1,6,0
Congratulations! You've won a gift card. #330,0.4751878644127421,45,0,3,1
"Cheap material, broke within a week. #331",0.5110151276629423,41,1,1,0
Fast delivery and amazing quality. #332,0.18572088110340518,39,0,4,0
